"dat","Désignation de l'infraction","libx","Ain","Aisne","Allier","Alpes-de-Haute-Provence","Hautes-Alpes","Alpes-Maritimes","Ardèche","Ardennes","Ariège","Aube","Aude","Aveyron","Bouches-du-Rhône","Calvados","Cantal","Charente","Charente-Maritime","Cher","Corrèze","Côte-d’Or","Côtes-d'Armor","Creuse","Dordogne","Doubs","Drôme","Eure","Eure-et-Loir","Finistère","Corse du Sud","Haute Corse","Gard","Haute-Garonne","Gers","Gironde","Hérault","Ille-et-Vilaine","Indre","Indre-et-Loire","Isère","Jura","Landes","Loir-et-Cher","Loire","Haute-Loire","Loire-Atlantique","Loiret","Lot","Lot-et-Garonne","Lozère","Maine-et-Loire","Manche","Marne","Haute-Marne","Mayenne","Meurthe-et-Moselle","Meuse","Morbihan","Moselle","Nièvre","Nord","Oise","Orne","Pas-de-Calais","Puy-de-Dôme","Pyrénées-Atlantiques","Hautes-Pyrénées","Pyrénées-Orientales","Bas-Rhin","Haut-Rhin","Rhône","Haute-Saône","Saône-et-Loire","Sarthe","Savoie","Haute-Savoie","Paris","Seine-Maritime","Seine-et-Marne","Yvelines","Deux-Sèvres","Somme","Tarn","Tarn-et-Garonne","Var","Vaucluse","Vendée","Vienne","Haute-Vienne","Vosges","Yonne","Territoire-de-Belfort","Essonne","Hauts-de-Seine","Seine-St-Denis","Val-de-Marne","Val-d’Oise","Guadeloupe","Martinique","Guyane","Réunion","Saint Pierre et Miquelon","Mayotte","Wallis et Futuna","Polynésie Française","Nouvelle Calédonie","9G","9H","AC","AE","AT","CJ"
"01/01/2014","61.0","Autres délits contre santé publique et la réglementation des professions médicales","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0",".","0.0",".","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"01/01/2014","62.0","Incendies volontaires de biens publics","1.0","3.0","0.0","0.0","1.0","3.0","0.0","1.0","0.0","1.0","5.0","0.0","11.0","0.0","0.0","2.0","3.0","2.0","1.0","2.0","0.0","0.0","0.0","3.0","1.0","0.0","2.0","2.0","1.0","1.0","1.0","3.0","0.0","27.0","6.0","0.0","1.0","1.0","5.0","0.0","1.0","1.0","3.0","2.0","6.0","0.0","0.0","2.0","0.0","3.0","1.0","2.0","0.0","1.0","4.0","2.0","0.0","3.0","0.0","10.0","1.0","0.0","13.0","3.0","3.0","1.0","1.0","21.0","2.0","10.0","0.0","1.0","4.0","0.0","0.0","7.0","4.0","9.0","4.0","0.0","3.0","6.0","0.0","1.0","2.0","0.0","7.0","3.0","0.0","3.0","0.0","2.0","4.0","2.0","4.0","1.0","0.0","0.0","0.0","8.0",".","0.0",".","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"01/01/2014","63.0","Incendies volontaires de biens privés","4.0","21.0","8.0","2.0","0.0","44.0","2.0","14.0","0.0","7.0","14.0","2.0","76.0","12.0","0.0","9.0","8.0","9.0","1.0","23.0","1.0","1.0","2.0","23.0","21.0","10.0","15.0","27.0","4.0","5.0","38.0","65.0","2.0","41.0","22.0","10.0","5.0","18.0","80.0","2.0","2.0","7.0","66.0","1.0","57.0","18.0","2.0","4.0","0.0","34.0","1.0","40.0","7.0","0.0","42.0","1.0","5.0","41.0","4.0","225.0","37.0","4.0","95.0","26.0","18.0","9.0","10.0","173.0","72.0","139.0","5.0","12.0","16.0","17.0","6.0","30.0","97.0","48.0","76.0","0.0","28.0","17.0","4.0","36.0","64.0","2.0","6.0","10.0","4.0","15.0","14.0","55.0","63.0","196.0","68.0","91.0","3.0","0.0","0.0","15.0",".","0.0",".","0.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0"
"01/01/2014","64.0","Attentats à l’explosif contre des biens publics","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",".","0.0",".","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"01/01/2014","65.0","Attentats à l’explosif contre des biens privés","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0",".","0.0",".","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"01/01/2014","66.0","Destructions, dégradations de biens publics hors incendie, hors attentat","2.0","3.0","22.0","3.0","2.0","27.0","4.0","6.0","1.0","1.0","12.0","6.0","47.0","11.0","4.0","10.0","25.0","1.0","5.0","10.0","13.0","0.0","6.0","18.0","18.0","3.0","22.0","15.0","5.0","1.0","17.0","40.0","1.0","40.0","39.0","20.0","3.0","5.0","21.0","5.0","9.0","8.0","24.0","5.0","47.0","9.0","0.0","5.0","0.0","11.0","8.0","12.0","2.0","10.0","27.0","0.0","10.0","34.0","3.0","77.0","14.0","12.0","46.0","9.0","9.0","9.0","17.0","50.0","27.0","60.0","4.0","17.0","16.0","13.0","14.0","114.0","50.0","55.0","73.0","4.0","15.0","12.0","6.0","19.0","5.0","11.0","23.0","12.0","3.0","7.0","2.0","24.0","56.0","55.0","42.0","40.0","5.0","7.0","0.0","14.0",".","1.0",".","0.0","13.0","0.0","0.0","0.0","0.0","0.0","0.0"
"01/01/2014","67.0","Destructions, dégradations de biens privés hors incendie, attentat, véhicule","16.0","24.0","40.0","5.0","9.0","198.0","9.0","27.0","4.0","20.0","20.0","9.0","370.0","73.0","12.0","43.0","67.0","10.0","22.0","48.0","20.0","4.0","18.0","61.0","40.0","13.0","32.0","139.0","5.0","8.0","78.0","138.0","5.0","245.0","148.0","123.0","14.0","69.0","81.0","12.0","14.0","19.0","178.0","14.0","258.0","58.0","7.0","22.0","1.0","63.0","34.0","115.0","7.0","17.0","117.0","9.0","34.0","141.0","7.0","581.0","59.0","27.0","178.0","66.0","49.0","12.0","63.0","104.0","113.0","290.0","8.0","23.0","42.0","41.0","59.0","978.0","349.0","184.0","317.0","17.0","37.0","31.0","20.0","79.0","59.0","25.0","24.0","34.0","34.0","23.0","15.0","165.0","342.0","579.0","305.0","269.0","30.0","6.0","21.0","34.0",".","2.0",".","2.0","32.0","0.0","0.0","0.0","0.0","0.0","0.0"
"01/01/2014","68.0","Destructions, dégradations de véhicules privés hors incendie, hors attentat","9.0","26.0","66.0","1.0","3.0","214.0","7.0","18.0","4.0","40.0","37.0","2.0","340.0","70.0","9.0","41.0","203.0","19.0","18.0","72.0","17.0","3.0","13.0","42.0","35.0","3.0","26.0","139.0","49.0","6.0","86.0","89.0","13.0","188.0","146.0","103.0","13.0","97.0","146.0","3.0","23.0","25.0","203.0","5.0","216.0","54.0","5.0","15.0","0.0","64.0","61.0","97.0","2.0","10.0","92.0","7.0","43.0","248.0","13.0","713.0","83.0","26.0","290.0","95.0","76.0","21.0","28.0","127.0","91.0","402.0","2.0","31.0","59.0","59.0","58.0","542.0","288.0","254.0","535.0","5.0","78.0","35.0","16.0","84.0","58.0","28.0","55.0","41.0","31.0","28.0","5.0","151.0","471.0","646.0","420.0","333.0","76.0","2.0","53.0","87.0",".","25.0",".","11.0","88.0","0.0","0.0","0.0","0.0","0.0","0.0"
"01/01/2014","69.0","Infractions aux conditions générales d’entrée et de séjour des étrangers","23.0","0.0","0.0","0.0","18.0","62.0","0.0","0.0","0.0","0.0","1.0","0.0","7.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","18.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","3.0","0.0","26.0","0.0","0.0","48.0","0.0","5.0","0.0","0.0","69.0","1.0","60.0","2.0","336.0","62.0","18.0","5.0","0.0","0.0","0.0","197.0","42.0","41.0","2.0","2.0","2.0","0.0","3.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","15.0","5.0","8.0","0.0","10.0","4.0","0.0","59.0","0.0",".","311.0",".","0.0","0.0","0.0","18.0","0.0","0.0","0.0","0.0"
"01/01/2014","70.0","Aide à l’entrée, à la circulation et au séjour des étrangers","10.0","0.0","0.0","0.0","1.0","4.0","0.0","0.0","0.0","0.0","6.0","0.0","6.0","12.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","4.0","0.0","2.0","13.0","0.0","2.0","8.0","3.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","3.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","6.0","0.0","0.0","19.0","0.0","17.0","4.0","0.0","47.0","1.0","1.0","0.0","11.0","27.0","3.0","11.0","0.0","2.0","0.0","22.0","6.0","7.0","4.0","10.0","4.0","0.0","0.0","0.0","0.0","2.0","5.0","0.0","0.0","4.0","0.0","0.0","0.0","13.0","0.0","5.0","3.0","4.0","2.0","8.0","26.0","3.0",".","46.0",".","0.0","2.0","0.0","3.0","0.0","0.0","0.0","0.0"
