"","Départements","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Index","Libellé","Tout département","01","02","03","04","05","06","07","08","09","10.0","11.0","12.0","13.0","14.0","15.0","16.0","17.0","18.0","19.0","21.0","22.0","23.0","24.0","25.0","26.0","27.0","28.0","29.0","2A","2B","30.0","31.0","32.0","33.0","34.0","35.0","36.0","37.0","38.0","39.0","40.0","41.0","42.0","43.0","44.0","45.0","46.0","47.0","48.0","49.0","50.0","51.0","52.0","53.0","54.0","55.0","56.0","57.0","58.0","59.0","60.0","61.0","62.0","63.0","64.0","65.0","66.0","67.0","68.0","69.0","70.0","71.0","72.0","73.0","74.0","75.0","76.0","77.0","78.0","79.0","80.0","81.0","82.0","83.0","84.0","85.0","86.0","87.0","88.0","89.0","90.0","91.0","92.0","93.0","94.0","95.0","Service à compétence national"
"","Tout index","3447903.0","22615.0","24052.0","11653.0","7035.0","5303.0","93308.0","11011.0","10795.0","4829.0","14360.0","19941.0","7307.0","172445.0","29336.0","2984.0","13993.0","32795.0","11539.0","7974.0","21795.0","19266.0","2140.0","13387.0","23454.0","25567.0","24733.0","17595.0","33173.0","6717.0","7909.0","47130.0","79929.0","5429.0","85153.0","77316.0","39994.0","7773.0","26084.0","65053.0","8331.0","14497.0","14057.0","34748.0","6183.0","71222.0","31823.0","4765.0","12589.0","2081.0","27378.0","15135.0","33297.0","7758.0","8870.0","35431.0","6799.0","25840.0","45420.0","7511.0","166565.0","41158.0","10055.0","73918.0","25324.0","27760.0","9036.0","32384.0","49322.0","32240.0","115632.0","7363.0","18529.0","19184.0","25700.0","35345.0","238856.0","66765.0","80973.0","84148.0","11946.0","27114.0","13761.0","10542.0","62861.0","37025.0","19848.0","16551.0","13438.0","13172.0","15930.0","6397.0","69926.0","96520.0","142798.0","90376.0","92392.0","442.0"
"1.0","Règlements de compte entre malfaiteurs","43.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","17.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","6.0","2.0","0.0","1.0","0.0","1.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","3.0","0.0","0.0","1.0","1.0"
"2.0","Homicides pour voler et à l'occasion de vols","36.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","1.0","0.0","9.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","3.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","3.0","0.0","1.0","0.0"
"3.0","Homicides pour d'autres motifs","550.0","6.0","7.0","2.0","3.0","3.0","27.0","5.0","2.0","2.0","1.0","5.0","2.0","28.0","3.0","2.0","1.0","2.0","3.0","1.0","1.0","5.0","0.0","1.0","3.0","3.0","7.0","4.0","13.0","7.0","4.0","2.0","10.0","0.0","14.0","17.0","7.0","0.0","3.0","8.0","5.0","5.0","5.0","3.0","0.0","6.0","6.0","1.0","5.0","0.0","1.0","1.0","5.0","3.0","1.0","4.0","0.0","4.0","11.0","1.0","16.0","3.0","6.0","10.0","8.0","3.0","1.0","10.0","13.0","5.0","5.0","0.0","9.0","2.0","1.0","2.0","38.0","18.0","6.0","9.0","2.0","5.0","1.0","1.0","8.0","3.0","4.0","2.0","3.0","1.0","3.0","3.0","6.0","15.0","15.0","21.0","11.0","0.0"
"4.0","Tentatives d'homicides pour voler et à l'occasion de vols","56.0","1.0","0.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","8.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","2.0","0.0","1.0","1.0","2.0","0.0","0.0","4.0","0.0","0.0","2.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","1.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","3.0","1.0","1.0","2.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","2.0","4.0","4.0","0.0","0.0"
"5.0","Tentatives homicides pour d'autres motifs","1015.0","9.0","6.0","5.0","0.0","0.0","22.0","4.0","1.0","2.0","1.0","2.0","4.0","89.0","11.0","0.0","5.0","4.0","1.0","1.0","7.0","1.0","1.0","4.0","10.0","4.0","1.0","8.0","8.0","8.0","9.0","7.0","21.0","1.0","15.0","33.0","4.0","2.0","7.0","17.0","1.0","5.0","2.0","14.0","2.0","11.0","8.0","4.0","2.0","0.0","5.0","3.0","5.0","2.0","1.0","13.0","2.0","8.0","7.0","1.0","26.0","12.0","1.0","19.0","1.0","9.0","1.0","10.0","12.0","12.0","23.0","4.0","7.0","2.0","6.0","11.0","107.0","18.0","9.0","24.0","0.0","8.0","6.0","2.0","28.0","8.0","3.0","1.0","0.0","3.0","11.0","1.0","29.0","32.0","67.0","33.0","38.0","0.0"
"6.0","Coups et blessures volontaires suivis de mort","121.0","1.0","4.0","1.0","0.0","0.0","2.0","0.0","0.0","0.0","1.0","2.0","0.0","8.0","0.0","0.0","2.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","1.0","0.0","0.0","1.0","1.0","0.0","2.0","2.0","0.0","4.0","2.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","2.0","0.0","0.0","0.0","0.0","2.0","1.0","0.0","0.0","2.0","0.0","3.0","0.0","0.0","8.0","4.0","1.0","2.0","0.0","0.0","0.0","3.0","1.0","1.0","6.0","0.0","3.0","4.0","1.0","1.0","3.0","5.0","0.0","4.0","0.0","0.0","1.0","0.0","2.0","0.0","0.0","0.0","1.0","0.0","2.0","0.0","2.0","2.0","6.0","4.0","2.0","0.0"
