"commune","type","infraction","code_reg","code_dep","lat","lng","ville_ref"
"Pujols-sur-Ciron","P",26.759999999999998,72,"33",44.5707365487,-0.353176378763,"Langon"
"Pulnoy","P",58.75,41,"54",48.7016421917,6.26610027665,"Nancy"
"Purgerot","P",20.28,43,"70",47.7492388888,5.99111141327,"Vesoul"
"Pusy-et-Épenoux","P",20.28,43,"70",47.6675589968,6.15028596157,"Vesoul"
"Puteaux","P",57.89000000000001,11,"92",48.8837094969,2.23834178314,"La Défense - Courbevoie - Puteaux - Nanterre"
"Puttigny","P",15.78,41,"57",48.8438614892,6.54858910646,"Sarrebourg"
"Puy-l'Évêque","P",19.5,73,"46",44.5166104791,1.13576954751,"Cahors"
"Puy-Saint-Martin","P",33.14,82,"26",44.6239658602,4.97170950071,"Die"
"Puy-Saint-Vincent","P",27.830000000000002,93,"05",44.8144250588,6.4647473741,"Briançon"
"Puycalvel","P",22.529999999999998,73,"81",43.6838355288,2.07099624199,"Castres"
"Puygaillard-de-Quercy","P",24.43,73,"82",44.0245113626,1.63164922322,"Montauban"
"Puylagarde","P",24.43,73,"82",44.3066142311,1.84631007866,"Montauban"
"Puyméras","P",26.379999999999995,93,"84",44.2849517081,5.13590933781,"Carpentras"
"Puyol-Cazalet","P",18.24,72,"40",43.6054018969,-0.401096682723,"Mont-de-Marsan"
"Puyravault","P",31.880000000000003,54,"17",46.1338386234,-0.817268568399,"Rochefort"
"Puységur","P",23.36,73,"32",43.7729413958,0.591022229224,"Condom"
"Puzieux","P",28.84,41,"88",48.3347554492,6.0998994342,"Neufchâteau"
"Quantilly","P",24.410000000000004,24,"18",47.22453003,2.4453965974,"Bourges"
"Quarouble","P",47.779999999999994,31,"59",50.4035655109,3.6270603909,"Valenciennes"
"Quatzenheim","P",20.64,42,"67",48.6274123136,7.57602311143,"Strasbourg"
"Quelmes","P",12.52,31,"62",50.7344041405,2.12647655403,"Saint-Omer"
"Quemper-Guézennec","P",20.849999999999998,53,"22",48.7006441281,-3.10832259045,"Guingamp"
"Quenne","P",26.180000000000003,26,"89",47.779604419,3.65137450935,"Auxerre"
"Quérénaing","P",20.57,31,"59",50.2848542839,3.50823290442,"Valenciennes"
"Quers","P",24.41,43,"70",47.7265725421,6.44190113641,"Lure"
"Quesques","P",16.82,31,"62",50.7016785113,1.9419210746,"Calais"
"Quettehou","P",11.070000000000002,25,"50",49.5883938646,-1.32408087794,"Cherbourg-Octeville"
"Queuille","P",19.3,83,"63",45.9728708366,2.83726186484,"Riom"
"Quéven","P",29.17,53,"56",47.7841865998,-3.41957717053,"Lorient"
"Queyrac","P",32.64,72,"33",45.3608901239,-1.00082649674,"Lesparre-Médoc"
"Quiberville","P",13.1,23,"76",49.8974337377,0.919878729271,"Dieppe"
"Quiéry-la-Motte","P",18.33,31,"62",50.3662007463,2.98347505624,"Arras"
"Quiestède","P",12.52,31,"62",50.6805074273,2.32892065938,"Saint-Omer"
"Quilen","P",19.16,31,"62",50.5294762225,1.9336963946,"Ecuires"
"Quimperlé","P",18.22,53,"29",47.8561303355,-3.55642894655,"Quimperlé"
"Quincerot","P",31.3,26,"89",47.9410004718,4.16662692839,"Avallon"
"Quincy-Basse","P",27.84,22,"02",49.5091437001,3.38465364189,"Laon"
"Quincy-Voisins","P",39.87,11,"77",48.8993902334,2.87746538082,"Meaux"
"Quingey","P",25.520000000000003,43,"25",47.1025398446,5.88098542141,"Besançon"
"Quinson","P",36.629999999999995,93,"04",43.7080624854,6.02269492276,"Castellane"
"Quintillan","P",46.22,91,"11",42.9592603481,2.70315796115,"Narbonne"
"Quissac","P",18.41,73,"46",44.6246336398,1.71917437055,"Figeac"
"Quivières","P",30.85,22,"80",49.8238384226,3.0324181792,"Péronne"
"Rablay-sur-Layon","P",22.850000000000005,52,"49",47.2836327964,-0.587916116064,"Angers"
"Râches","P",33.45,31,"59",50.4201328892,3.13698851837,"Douai"
"Radenac","P",22.95,53,"56",47.9491864881,-2.7130262254,"Ploërmel"
"Radinghem","P",19.16,31,"62",50.5466948364,2.11786981824,"Ecuires"
"Raedersheim","P",21.080000000000002,42,"68",47.8850080179,7.27686829519,"Soultz-Guebwiller"
"Rahon","P",24.46,43,"39",46.9938029264,5.47383936755,"Dole"
"Raillicourt","P",19.380000000000003,21,"08",49.6525273198,4.59097690404,"Charleville-Mézières"
"Rainneville","P",22.44,22,"80",49.9739949496,2.36189417533,"Amiens"
