"Ville","CP","Adresse","Longitude","Latitude","Type","Effectif","superficie","population","noReg","noDept","gn2013","gd2013","pn2013"
"MIONS","69780","10 Rue Joanny Sage 69780 MIONS",4.95504,45.666762,"G",,1160.0,11.6,82,"69",1064,642,5858
"MERLIMONT","62155","100 All̩e des Courlis 62155 MERLIMONT",1.616087,50.451506,"G",,2043.0,3.1,31,"62",1059,595,3483
"HOYMILLE","59492","Caserne Dumont Chemin D̩partemental 916 A 59492 HOYMILLE",2.453984,50.973912,"G",,560.0,3.2,31,"59",1378,809,6854
"ROBION","84440","120 Avenue Andr̩ Dumoulin 84440 ROBION",5.103536,43.845816,"G",,1786.0,4.1,93,"84",706,405,766
"BONDOUFLE","91070","Route D̩partementale 194 91070 BONDOUFLE",2.379389,48.615213,"G",,682.0,9.3,11,"91",709,434,3328
"LA FARLEDE","83210","200 Route Nationale 97 83210 LA FARLEDE",6.041687,43.162378,"G",,835.0,8.1,93,"83",921,500,1767
"BOMPAS","66430","Route de Villelongue 66430 BOMPAS",2.94262,42.727805,"G",,573.0,7.2,91,"66",663,382,972
"BOMPAS","66430","Route de Villelongue 66430 BOMPAS",2.94262,42.727805,"G",,282.0,0.2,73,"66",340,190,126
"BOMPAS","66430","Route de Villelongue 66430 BOMPAS",2.94262,42.727805,"G",,282.0,0.2,73,"66",663,382,972
"CABESTANY","66330","2 Avenue du 19 Mars 1962 ZA Le Moulinas 66330 CABESTANY",2.93532,42.679268,"G",,1058.0,8.9,91,"66",663,382,972
"IRIGNY","69540","20 Avenue Jean Gotail 69540 IRIGNY",4.823656,45.670327,"G",,889.0,8.3,82,"69",1064,642,5858
"CELY","77930","9 Rue Edouard Goerg 77930 CELY",2.527767,48.458441,"G",,617.0,1.2,11,"77",920,463,3773
"CLAPIERS","34830","10 Avenue de l'Europe 34830 CLAPIERS",3.900993,43.662196,"G",,766.0,5.1,91,"34",1115,659,1812
"LONGUENESSE","62219","1 Rue Rembrandt 62219 LONGUENESSE",2.27184,50.74184,"G",,844.0,11.0,31,"62",1059,595,3483
