"long","lat","Type","Adresse","CP","Ville","nDept","nReg","Effectif"
"4.95504","45.666762","G","10 Rue Joanny Sage 69780 MIONS","69780","MIONS","69","82","11"
"1.616087","50.451506","G","100 All̩e des Courlis 62155 MERLIMONT","62155","MERLIMONT","62","31","10"
"2.453984","50.973912","G","Caserne Dumont Chemin D̩partemental 916 A 59492 HOYMILLE","59492","HOYMILLE","59","31","12"
"5.103536","43.845816","G","120 Avenue Andr̩ Dumoulin 84440 ROBION","84440","ROBION","84","93","14"
"2.379389","48.615213","G","Route D̩partementale 194 91070 BONDOUFLE","91070","BONDOUFLE","91","11","11"
"6.041687","43.162378","G","200 Route Nationale 97 83210 LA FARLEDE","83210","LA FARLEDE","83","93","13"
"2.94262","42.727805","G","Route de Villelongue 66430 BOMPAS","66430","BOMPAS","66","91","9"
"2.94262","42.727805","G","Route de Villelongue 66430 BOMPAS","66430","BOMPAS","66","73","5"
"2.94262","42.727805","G","Route de Villelongue 66430 BOMPAS","66430","BOMPAS","66","73","9"
"2.93532","42.679268","G","2 Avenue du 19 Mars 1962 ZA Le Moulinas 66330 CABESTANY","66330","CABESTANY","66","91","9"
"4.823656","45.670327","G","20 Avenue Jean Gotail 69540 IRIGNY","69540","IRIGNY","69","82","11"
"2.527767","48.458441","G","9 Rue Edouard Goerg 77930 CELY","77930","CELY","77","11","13"
"3.900993","43.662196","G","10 Avenue de l'Europe 34830 CLAPIERS","34830","CLAPIERS","34","91","13"
"2.27184","50.74184","G","1 Rue Rembrandt 62219 LONGUENESSE","62219","LONGUENESSE","62","31","10"
"-1.649721","48.185","G","63 Avenue d'Armorique 35830 BETTON","35830","BETTON","35","53","11"
"1.376147","43.665163","G","50 Rue de la R̩publique 31700 BEAUZELLE","31700","BEAUZELLE","31","73","10"
"2.541462","49.30636","G","1 Rue de la Planchette 60870 BRENOUILLE","60870","BRENOUILLE","60","22","11"
"1.375917","50.05254","G","2 Rue Albert Edward Dixon 76470 LE TREPORT","76470","LE TREPORT","76","23","9"
"4.780804","43.849294","G","12 Avenue G̩n̩ral de gaulle 13690 GRAVESON","13690","GRAVESON","13","93","15"
"3.01384","50.520573","G","18 Rue du Ponchelet 59133 PHALEMPIN","59133","PHALEMPIN","59","31","12"
"7.651268","48.93338","G","51 Route d'Oberbronn 67110 REICHSHOFFEN","67110","REICHSHOFFEN","67","42","13"
"7.23725","47.798103","G","40 Rue Jean Mermoz 68310 WITTELSHEIM","68310","WITTELSHEIM","68","42","9"
"5.261141","43.648207","G","Quartier Bertoire 6 Avenue Cl̩ment Fauchier 13410 LAMBESC","13410","LAMBESC","13","93","15"
"5.48722","43.600958","G","13 Rue de la Bergerie 13770 VENELLES","13770","VENELLES","13","93","15"
"7.707185","48.635321","G","20 Rue du Haldenbourg 67450 MUNDOLSHEIM","67450","MUNDOLSHEIM","67","42","13"
"7.654253","48.517368","G","2 Rue de S̩n̩ 67118 GEISPOLSHEIM","67118","GEISPOLSHEIM","67","42","13"
"5.141903","45.61815","G","6 Rue Montgolfier 38090 VILLEFONTAINE","38090","VILLEFONTAINE","38","82","12"
"-1.780089","48.151176","G","21 bis Avenue Charles Le Goffic 35740 PACE","35740","PACE","35","53","11"
