Dpt	District	Nature des locaux	adresse	Tél	horaires	latitude	longitude
93	D2	Ciat Subd.	35-39 rue du Landy 93200 La Plaine-Saint-Denis	01 48 09 61 90	24/24	48.9147458	2.3876113
93	D2	Ciat	16/22 rue Léopold Rechossière 93300 Aubervilliers	01 48 11 17 00 	24/24	48.9281568	2.3906529
93	D2	Ciat	16 Place du Pommier de Bois 93120 La Courneuve	01 43 11 77 30	24/24	48.9336702	2.4244662
93	D2	BP	51 avenue de la Division Leclerc 93350 Le Bourget	01 43 11 80 46	 du Lundi au Vendredi de 9h00 à 16h30	48.9521304	2.3121607
93	D2	Ciat	40 rue de Quetigny 93800 Epinay-sur-Seine	01 49 40 17 00	24/24	48.9070062	2.3377745
93	D2	Ciat	15 rue Dieumegard 93400 Saint-Ouen	01 41 66 27 00 	24/24	48.9605189	2.3819018
93	D2	Ciat	47 avenue Marcel Cachin 93240 Stains	01 49 71 33 50 	24/24	48.9272489	2.5003854
93	D3	Ciat	26/28 rue Louis Barrault 93600 Aulnay-sous-Bois	01 48 19 30 00	24/24	48.9547965	2.4981464
93	D3	BP	7 rue Edgar Degas 93600 Aulnay-sous-Bois	01 48 19 22 20	 du Lundi au Vendredi de 9h00 à 12h00 et 13h00 à 17H53	48.891151	2.510922
93	D3	Ciat	9 boulevard de l'Ouest 93340 Le Raincy	01 43 01 35 00	24/24	48.938448	2.462955
93	D3	Ciat	Place Gabriel Péri 93150 Le Blanc-Mesnil	01 48 14 29 30	24/24	48.918871	2.5370334
93	D3	Ciat	2 avenue du Consul Général Nordling 93190 Livry-Gargan	01 41 70 18 30	24/24	48.9536995	2.5185514
93	D3	Ciat	1/3 rue Jean Fourgeaud 93240 Villepinte	01 49 63 46 10	24/24	48.937397	2.529835
93	D3	Ciat Subd.	1bis Place Gaston Bussière 93270 Sevran	01 41 52 16 40	24/24	48.8642924	2.4423922
93	D4	Ciat	18 bis/20 boulevard Paul Vaillant Couturier 93100 Montreuil-sous-Bois 	01 49 88 89 00	24/24	48.8766383	2.4862294
93	D4	Ciat	20 rue Lech Walesa 93110 Rosny-sous-Bois	01 48 12 28 30	24/24	48.8837957	2.5314501
93	D4	Ciat	13 rue Parmentier 93220 Gagny	01 43 01 33 50	24/24	48.8554502	2.5264102
93	D4	Ciat	34 boulevard du Maréchal Foch 93330 Neuilly-sur-Marne	01 56 49 10 10	24/24	48.857427	2.533062
93	D4	Ciat	1bis rue Emile Cossoneau 93160 Noisy-le-Grand	01 55 85 80 00 	24/24	48.904559	2.548751
93	D4	Ciat	1 Carrefour des Libertés 93390 Clichy-sous-Bois	01  82 46 60 00	24/24	40.6252403	-96.9620819
94	D1	Hôtel de Police	11/19 bld Jean-Baptiste Oudry  94011 CRETEIL	01.45.13.30.00	24/24	48.7706655	2.4840649
94	D1	BP	3 rue des Varennes 94380 BONNEUIL-SUR-MARNE	01.49.80.07.32	 du Lundi au Vendredi de 9h00 à 12h00 et 14h00 à 19h00	48.8054042	2.4130252
94	D1	Ciat	26 rue du Port à l'Anglais 94140 ALFORTVILLE	01.43.53.89.10	24/24	48.7535155	2.5034639
94	D1	Ciat	1 rue Jacques Prévert  94470 BOISSY-SAINT-LEGER	01.45.10.71.50	24/24	48.7223669	2.5335344
94	D1	BP	49 rue du Lieutenant Dagorno  94440 VILLECRESNES	01.56.32.20.80	 du Lundi au Vendredi de 9h00 à 12h00 et 14h00 à 19h00	48.8224447	2.4104569
94	D1	Ciat	26 rue de Conflans  94220 CHARENTON-LE-PONT	01.43.53.61.20	24/24	48.804228	2.4372993
94	D1	Ciat	70 bis av de la République 94700 MAISONS-ALFORT	01.43.53.66.00	24/24	48.7957388	2.4896429
94	D1	Ciat	40/42 rue Delerue 94100 SAINT-MAUR-DES-FOSSES	01.55.97.52.00	24/24	48.7874179	2.3624971
94	D2	Ciat	20 rue Youri Gagarine  94400 VITRY-SUR-SEINE	01.47.18.35.00	24/24		
94	D2	Ciat	9 rue Léon Gourdault  94600 CHOISY-LE-ROI	01.48.90.15.15	24/24		
94	D2	BP	3 rue Adrien Raynal 94310 ORLY	01.58.42.20.40	 du Lundi au Vendredi de 9h00 à 12h00 et 14h00 à 19h00	48.814133	2.390735
