CODGEO	REG	DEP	ARR	LIBGEO	P10_POP
01186	82	01	011	Hostiaz	82
01187	82	01	014	Hotonnes	306
01188	82	01	012	Illiat	570
01189	82	01	014	Injoux-Génissiat	1055
01190	82	01	011	Innimond	114
01191	82	01	014	Izenave	164
01192	82	01	014	Izernore	2278
01193	82	01	011	Izieu	201
01194	82	01	012	Jassans-Riottier	5976
01195	82	01	012	Jasseron	1552
01196	82	01	012	Jayat	1049
01197	82	01	012	Journans	324
01198	82	01	012	Joyeux	223
01199	82	01	014	Jujurieux	2097
01200	82	01	014	Labalme	204
01202	82	01	011	Lagnieu	6756
01203	82	01	012	Laiz	1130
01204	82	01	014	Lalleyriat	239
01205	82	01	013	Lancrans	1052
01206	82	01	014	Lantenay	257
01207	82	01	012	Lapeyrouse	292
01208	82	01	011	Lavours	148
01209	82	01	013	Léaz	569
01210	82	01	013	Lélex	225
01211	82	01	012	Lent	1328
01212	82	01	012	Lescheroux	683
01213	82	01	011	Leyment	1273
01214	82	01	014	Leyssard	153
01215	82	01	014	Lhôpital	59
01216	82	01	011	Lhuis	854
01218	82	01	011	Lochieu	91
01219	82	01	011	Lompnas	149
01221	82	01	011	Lompnieu	122
01224	82	01	011	Loyettes	2645
01225	82	01	012	Lurcy	393
01227	82	01	011	Magnieu	419
01228	82	01	014	Maillat	668
01229	82	01	012	Malafretaz	952
01230	82	01	012	Mantenay-Montlin	288
01231	82	01	012	Manziat	1924
01232	82	01	012	Marboz	2182
01233	82	01	011	Marchamp	118
01234	82	01	011	Marignieu	148
01235	82	01	012	Marlieux	887
01236	82	01	012	Marsonnas	1005
01237	82	01	014	Martignat	1604
01238	82	01	012	Massieux	2428
01239	82	01	011	Massignieu-de-Rives	608
01240	82	01	014	Matafelon-Granges	652
01241	82	01	012	Meillonnas	1298
01242	82	01	014	Mérignat	139
01243	82	01	012	Messimy-sur-Saône	1209
01244	82	01	012	Meximieux	7268
01245	82	01	012	Bohas-Meyriat-Rignat	811
01246	82	01	012	Mézériat	2072
01247	82	01	013	Mijoux	379
01248	82	01	012	Mionnay	2077
01249	82	01	012	Miribel	9066
01250	82	01	012	Misérieux	1762
01252	82	01	012	Mogneneins	727
01254	82	01	012	Montagnat	1646
01255	82	01	011	Montagnieu	495
01257	82	01	014	Montanges	330
01258	82	01	012	Montceaux	1164
01259	82	01	012	Montcet	665
01260	82	01	012	Le Montellier	244
01261	82	01	012	Monthieux	599
01262	82	01	012	Montluel	6999
01263	82	01	012	Montmerle-sur-Saône	3823
01264	82	01	012	Montracol	967
01265	82	01	014	Montréal-la-Cluse	3457
01266	82	01	012	Montrevel-en-Bresse	2362
01267	82	01	014	Nurieux-Volognat	1058
01268	82	01	011	Murs-et-Gélignieux	241
01269	82	01	014	Nantua	3713
01271	82	01	011	Nattages	564
01272	82	01	012	Neuville-les-Dames	1504
01273	82	01	012	Neuville-sur-Ain	1571
01274	82	01	014	Les Neyrolles	637
01275	82	01	012	Neyron	2472
01276	82	01	012	Niévroz	1488
01277	82	01	011	Nivollet-Montgriffon	143
01279	82	01	011	Oncieu	91
01280	82	01	011	Ordonnaz	141
01281	82	01	013	Ornex	3531
01282	82	01	014	Outriaz	256
01283	82	01	014	Oyonnax	22650
01284	82	01	012	Ozan	618
01285	82	01	012	Parcieux	1095
01286	82	01	011	Parves	360
01288	82	01	013	Péron	2143
01289	82	01	012	Péronnas	6054
01290	82	01	012	Pérouges	1204
01291	82	01	012	Perrex	826
01292	82	01	014	Le Petit-Abergement	138
01293	82	01	014	Peyriat	171
01294	82	01	011	Peyrieu	821
01295	82	01	012	Peyzieux-sur-Saône	473
01296	82	01	012	Pirajoux	360
01297	82	01	012	Pizay	777
01298	82	01	014	Plagne	129
01299	82	01	012	Le Plantay	540
01300	82	01	014	Le Poizat	422
01301	82	01	012	Polliat	2403
01302	82	01	011	Pollieu	157
01303	82	01	014	Poncin	1644
01304	82	01	012	Pont-d'Ain	2627
01305	82	01	012	Pont-de-Vaux	2205
01306	82	01	012	Pont-de-Veyle	1593
01307	82	01	014	Port	847
01308	82	01	013	Pougny	802
01309	82	01	012	Pouillat	88
01310	82	01	011	Prémeyzel	234
01311	82	01	011	Prémillieu	36
01312	82	01	012	Pressiat	224
01313	82	01	013	Prévessin-Moëns	5980
