"dat","infract","Désignation de l'infraction","Ain","Aisne","Allier","Alpes-de-Haute-Provence","Hautes-Alpes","Alpes-Maritimes","Ardèche","Ardennes","Ariège","Aube","Aude","Aveyron","Bouches-du-Rhône","Calvados","Cantal","Charente","Charente-Maritime","Cher","Corrèze","Côte-d’Or","Côtes-d'Armor","Creuse","Dordogne","Doubs","Drôme","Eure","Eure-et-Loir","Finistère","Corse du Sud","Haute Corse","Gard","Haute-Garonne","Gers","Gironde","Hérault","Ille-et-Vilaine","Indre","Indre-et-Loire","Isère","Jura","Landes","Loir-et-Cher","Loire","Haute-Loire","Loire-Atlantique","Loiret","Lot","Lot-et-Garonne","Lozère","Maine-et-Loire","Manche","Marne","Haute-Marne","Mayenne","Meurthe-et-Moselle","Meuse","Morbihan","Moselle","Nièvre","Nord","Oise","Orne","Pas-de-Calais","Puy-de-Dôme","Pyrénées-Atlantiques","Hautes-Pyrénées","Pyrénées-Orientales","Bas-Rhin","Haut-Rhin","Rhône","Haute-Saône","Saône-et-Loire","Sarthe","Savoie","Haute-Savoie","Paris","Seine-Maritime","Seine-et-Marne","Yvelines","Deux-Sèvres","Somme","Tarn","Tarn-et-Garonne","Var","Vaucluse","Vendée","Vienne","Haute-Vienne","Vosges","Yonne","Territoire-de-Belfort","Essonne","Hauts-de-Seine","Seine-St-Denis","Val-de-Marne","Val-d’Oise","Guadeloupe","Martinique","Guyane","Réunion","Saint Pierre et Miquelon","Mayotte","Wallis et Futuna","Polynésie Française","Nouvelle Calédonie","9G","9H","AC","AE","AT","CJ"
"01/01/2013","66.0","Destructions, dégradations de biens publics hors incendie, hors attentat","6.0","10.0","18.0","2.0","1.0","21.0","2.0","15.0","2.0","4.0","7.0","5.0","51.0","10.0","0.0","23.0","25.0","6.0","6.0","17.0","8.0","3.0","8.0","26.0","15.0","7.0","7.0","30.0","3.0","1.0","17.0","59.0","0.0","72.0","20.0","31.0","1.0","6.0","34.0","3.0","4.0","7.0","23.0","3.0","48.0","7.0","1.0","5.0","1.0","16.0","13.0","7.0","0.0","9.0","20.0","2.0","18.0","43.0","4.0","62.0","8.0","10.0","31.0","26.0","13.0","5.0","14.0","59.0","29.0","81.0","0.0","11.0","9.0","5.0","6.0","75.0","44.0","32.0","37.0","4.0","21.0","9.0","3.0","12.0","16.0","11.0","14.0","6.0","13.0","4.0","3.0","35.0","41.0","61.0","35.0","34.0","5.0","4.0","2.0","10.0",".","3.0",".","1.0","10.0","0.0","0.0","0.0","0.0","0.0","0.0"
"01/01/2013","67.0","Destructions, dégradations de biens privés hors incendie, attentat, véhicule","16.0","54.0","42.0","3.0","14.0","117.0","8.0","15.0","4.0","32.0","33.0","7.0","323.0","94.0","3.0","33.0","84.0","18.0","23.0","83.0","29.0","3.0","23.0","59.0","80.0","27.0","19.0","157.0","18.0","3.0","78.0","176.0","10.0","314.0","147.0","173.0","14.0","61.0","123.0","8.0","10.0","12.0","150.0","12.0","319.0","41.0","3.0","27.0","2.0","105.0","65.0","152.0","5.0","6.0","90.0","10.0","53.0","113.0","7.0","530.0","59.0","23.0","207.0","99.0","79.0","8.0","38.0","131.0","111.0","329.0","5.0","32.0","27.0","49.0","46.0","720.0","370.0","149.0","287.0","17.0","70.0","31.0","14.0","104.0","60.0","15.0","46.0","29.0","22.0","29.0","16.0","185.0","401.0","655.0","341.0","307.0","27.0","19.0","16.0","42.0",".","6.0",".","4.0","32.0","0.0","0.0","0.0","0.0","0.0","0.0"
"01/01/2013","68.0","Destructions, dégradations de véhicules privés hors incendie, hors attentat","43.0","47.0","86.0","7.0","17.0","150.0","1.0","48.0","4.0","53.0","40.0","9.0","369.0","118.0","7.0","76.0","127.0","32.0","47.0","71.0","48.0","5.0","40.0","68.0","49.0","36.0","42.0","159.0","57.0","27.0","94.0","213.0","6.0","191.0","151.0","125.0","31.0","104.0","162.0","14.0","13.0","32.0","178.0","6.0","304.0","36.0","2.0","33.0","4.0","100.0","89.0","161.0","2.0","10.0","128.0","42.0","73.0","208.0","17.0","617.0","112.0","40.0","280.0","100.0","99.0","28.0","63.0","187.0","100.0","429.0","12.0","85.0","56.0","58.0","61.0","595.0","347.0","196.0","458.0","22.0","111.0","42.0","10.0","75.0","72.0","24.0","50.0","30.0","37.0","35.0","28.0","229.0","487.0","746.0","397.0","392.0","46.0","18.0","11.0","94.0",".","31.0",".","5.0","93.0","0.0","0.0","0.0","0.0","0.0","0.0"
"01/01/2013","69.0","Infractions aux conditions générales d’entrée et de séjour des étrangers","26.0","7.0","2.0","1.0","7.0","105.0","0.0","3.0","2.0","0.0","12.0","0.0","62.0","1.0","0.0","2.0","4.0","1.0","0.0","2.0","6.0","0.0","0.0","33.0","4.0","5.0","0.0","7.0","0.0","0.0","1.0","5.0","0.0","52.0","29.0","2.0","1.0","0.0","7.0","0.0","3.0","0.0","9.0","0.0","42.0","6.0","0.0","5.0","0.0","5.0","0.0","2.0","0.0","2.0","43.0","1.0","4.0","46.0","1.0","25.0","8.0","2.0","31.0","4.0","111.0","0.0","384.0","59.0","9.0","22.0","0.0","4.0","3.0","118.0","84.0","163.0","17.0","51.0","53.0","0.0","3.0","0.0","2.0","5.0","11.0","0.0","0.0","6.0","0.0","1.0","1.0","79.0","74.0","117.0","54.0","84.0","3.0","1.0","237.0","0.0",".","457.0",".","1.0","0.0","0.0","12.0","0.0","0.0","0.0","0.0"
"01/01/2013","70.0","Aide à l’entrée, à la circulation et au séjour des étrangers","5.0","0.0","0.0","0.0","4.0","25.0","0.0","0.0","0.0","0.0","1.0","0.0","10.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","1.0","0.0","3.0","1.0","3.0","11.0","0.0","3.0","5.0","6.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","4.0","0.0","0.0","0.0","13.0","0.0","0.0","14.0","0.0","16.0","2.0","0.0","29.0","0.0","4.0","0.0","5.0","27.0","1.0","8.0","0.0","0.0","0.0","8.0","7.0","27.0","6.0","9.0","4.0","0.0","0.0","0.0","0.0","1.0","5.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","10.0","5.0","12.0","6.0","5.0","17.0","2.0",".","37.0",".","1.0","0.0","0.0","4.0","0.0","0.0","0.0","0.0"
"01/01/2013","71.0","Autres infractions à la police des étrangers","0.0","0.0","0.0","0.0","0.0","15.0","0.0","0.0","0.0","0.0","2.0","0.0","66.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","20.0","0.0","16.0","3.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","2.0","0.0","1.0","1.0","0.0","2.0","0.0","1.0","0.0","9.0","9.0","3.0","1.0","0.0","0.0","0.0","1.0","2.0","13.0","2.0","22.0","11.0","0.0","0.0","0.0","2.0","23.0","12.0","0.0","0.0","2.0","0.0","2.0","0.0","1.0","6.0","10.0","9.0","70.0","0.0","1.0","0.0","0.0",".","0.0",".","9.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0"
"01/01/2013","72.0","Outrages à dépositaires de l'autorité","12.0","14.0","10.0","1.0","1.0","45.0","4.0","11.0","2.0","7.0","7.0","3.0","78.0","18.0","0.0","6.0","6.0","2.0","3.0","7.0","9.0","2.0","4.0","9.0","9.0","4.0","3.0","14.0","3.0","1.0","28.0","16.0","1.0","35.0","18.0","24.0","1.0","10.0","28.0","6.0","3.0","8.0","29.0","1.0","24.0","26.0","0.0","5.0","2.0","13.0","8.0","12.0","6.0","4.0","19.0","4.0","9.0","25.0","2.0","75.0","15.0","5.0","53.0","10.0","6.0","6.0","11.0","31.0","27.0","89.0","3.0","8.0","7.0","9.0","11.0","129.0","61.0","44.0","50.0","2.0","16.0","3.0","5.0","36.0","16.0","5.0","10.0","0.0","5.0","6.0","4.0","56.0","63.0","120.0","71.0","50.0","5.0","8.0","9.0","4.0",".","5.0",".","3.0","12.0","0.0","0.0","0.0","0.0","0.0","0.0"
"01/01/2013","73.0","Violences à dépositaires de l'autorité","7.0","17.0","6.0","1.0","1.0","61.0","0.0","3.0","1.0","8.0","12.0","1.0","113.0","13.0","0.0","5.0","10.0","1.0","3.0","12.0","6.0","0.0","3.0","15.0","18.0","10.0","19.0","20.0","2.0","3.0","20.0","32.0","2.0","32.0","29.0","17.0","3.0","14.0","21.0","9.0","6.0","6.0","27.0","0.0","38.0","26.0","0.0","3.0","1.0","13.0","10.0","16.0","4.0","6.0","33.0","4.0","10.0","24.0","0.0","74.0","17.0","4.0","31.0","9.0","15.0","2.0","12.0","42.0","33.0","103.0","1.0","8.0","13.0","6.0","5.0","180.0","62.0","45.0","70.0","2.0","28.0","3.0","4.0","43.0","13.0","4.0","10.0","2.0","5.0","9.0","2.0","53.0","73.0","147.0","66.0","60.0","9.0","19.0","8.0","16.0",".","3.0",".","2.0","9.0","0.0","0.0","0.0","0.0","0.0","0.0"
"01/01/2013","74.0","Port ou détention armes prohibées","6.0","16.0","11.0","1.0","6.0","38.0","7.0","9.0","1.0","7.0","16.0","7.0","161.0","18.0","2.0","5.0","37.0","1.0","6.0","27.0","6.0","0.0","7.0","14.0","21.0","7.0","1.0","22.0","3.0","3.0","17.0","67.0","2.0","56.0","41.0","19.0","1.0","10.0","56.0","11.0","5.0","3.0","14.0","2.0","82.0","24.0","0.0","3.0","4.0","12.0","1.0","25.0","2.0","2.0","29.0","10.0","5.0","24.0","7.0","127.0","13.0","5.0","42.0","14.0","15.0","4.0","9.0","19.0","21.0","106.0","2.0","7.0","12.0","8.0","15.0","169.0","48.0","63.0","70.0","7.0","16.0","9.0","3.0","42.0","15.0","7.0","10.0","6.0","17.0","10.0","5.0","46.0","51.0","98.0","91.0","57.0","22.0","35.0","11.0","9.0",".","3.0",".","1.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0"
"01/01/2013","75.0","Atteintes aux intérêts fondamentaux de la Nation","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","8.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0",".","0.0",".","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
